skill,authority,completion_escalation,validation,delegation,reasoning,openai_workflow,reporting,provenance
agent-skills/web-design/gsap-scrolltrigger-storytelling/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/gsap/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/high-contrast-skeuomorphic-clean/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/image-first-grid-layout/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/landing-page/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/light-mode-paper-technical/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/liquid-metal-border/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/marquee-loop/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/masked-reveal/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/matterjs/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/mesh-gradient-dark-blue-clean/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/nested-container-clean-agency/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/nested-container-frames/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/number-details/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/operational-enterprise-ai/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/orange-clean-paper-saas/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/pricing-page/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/product-proof-saas/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/progressive-blur/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/reveal-hover-effect/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/scroll-progress-timeline/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/scroll-scrubbed-visual-sequence/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/scroll-scrubbed-word-reveal/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/scroll-world-storytelling/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/shaders-cursor-ripples/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/skeuomorphic-ui/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/solar-duotone-bold/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/split-layout-technical/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/staggered-word-reveal/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/tailwindcss/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/tech-green-dark-mode-modern/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/technical-wireframe-info-layout/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/thinking-orbs/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/threejs/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/unicorn-studio/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/vantajs/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/webgl-3d-object/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/webgl-landing-steering/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/webgl-laser/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
